objectid,parentid,object_location,title,item_type,date,owner_firstname,manufacturer,vendor,description,items_available,subject,location,format,display_template,image_small,image_thumb
rd0001,,,Amethyst Academy [custom],record,2025,Anneliese,Artisaire,Artisaire,,1,logos (symbols);custom designs,,image/jpeg,multiple,/objects/small/sl0001_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0001_ae_2026-04-11_th.jpg
sl0001,rd0001,https://i.ibb.co/MD1X3t1c/sl0001-ae-2026-04-11.jpg,Amethyst Academy [custom] seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0001_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0001_ae_2026-04-11_th.jpg
st0001,rd0001,https://i.ibb.co/DDqFdkMh/st0001-ae-2026-03-27.jpg,Amethyst Academy [custom] stamp,StillImage,2025,Anneliese,Artisaire,Artisaire,,,,AE_house,image/jpeg,image,/objects/small/st0001_ae_2026-03-27_sm.jpg,/objects/thumbs/st0001_ae_2026-03-27_th.jpg
rd0002,,,Barbed write butterfly,record,,Anneliese,VintageSealCo,Etsy,,1,butterflies,,image/jpeg,multiple,/objects/small/sl0002_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0002_ae_2026-04-11_th.jpg
sl0002,rd0002,https://i.ibb.co/dwcTG4W3/sl0002-ae-2026-04-11.jpg,Barbed write butterfly seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0002_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0002_ae_2026-04-11_th.jpg
st0002,rd0002,,Barbed write butterfly stamp,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0002_ae_2026-03-27_sm.jpg,/objects/thumbs/st0002_ae_2026-03-27_th.jpg
rd0003,,,Beetle glyphs,record,,Anneliese,VintageSealCo,Etsy,,1,beetles,,image/jpeg,multiple,/objects/small/sl0003_ae_2026-05-02_sm.jpg,/objects/thumbs/sl0003_ae_2026-05-02_th.jpg
sl0003,rd0003,https://i.ibb.co/pVF6NBj/sl0003-ae-2026-05-02.jpg,Beetle glyphs seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0003_ae_2026-05-02_sm.jpg,/objects/thumbs/sl0003_ae_2026-05-02_th.jpg
st0003,rd0003,https://i.ibb.co/Qv75T2Xt/st0003-ae-2026-05-02.jpg,Beetle glyphs stamp,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0003_ae_2026-05-02_sm.jpg,/objects/thumbs/st0003_ae_2026-05-02_th.jpg
rd0004,,,Blank (25mm),record,,Anneliese,Made of Honour,Made of Honour,,1,,,image/jpeg,multiple,/objects/small/sl0004_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0004_ae_2026-04-11_th.jpg
sl0004,rd0004,https://i.ibb.co/gLVn0HCC/sl0004-ae-2026-04-11.jpg,Blank (25mm) seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0004_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0004_ae_2026-04-11_th.jpg
st0004,rd0004,https://i.ibb.co/99CkDv2R/st0004-ae-2026-03-27.jpg,Blank (25mm) stamp,StillImage,,Anneliese,Made of Honour,Made of Honour,,,,AE_house,image/jpeg,image,/objects/small/st0004_ae_2026-03-27_sm.jpg,/objects/thumbs/st0004_ae_2026-03-27_th.jpg
rd0005,,,Book butterflies,record,,Anneliese,VintageSealCo,Etsy,,1,books;butterflies,,image/jpeg,multiple,/objects/small/sl0005_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0005_ae_2026-04-11_th.jpg
sl0005,rd0005,https://i.ibb.co/JwCb0bYd/sl0005-ae-2026-04-11.jpg,Book butterflies seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0005_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0005_ae_2026-04-11_th.jpg
st0005,rd0005,https://i.ibb.co/gCq56VX/st0005-ae-2026-03-27.jpg,Book butterflies stamp,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0005_ae_2026-03-27_sm.jpg,/objects/thumbs/st0005_ae_2026-03-27_th.jpg
rd0006,,,Flower bat,record,,Anneliese,Livelifeandworld ,Etsy,,1,flowers;bats,,image/jpeg,multiple,/objects/small/sl0006_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0006_ae_2026-04-11_th.jpg
sl0006,rd0006,https://i.ibb.co/nMmLpyCR/sl0006-ae-2026-04-11.jpg,Flower bat seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0006_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0006_ae_2026-04-11_th.jpg
st0006,rd0006,https://i.ibb.co/8DJmC1SZ/st0006-ae-2026-03-27.jpg,Flower bat stamp,StillImage,,Anneliese,Livelifeandworld ,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0006_ae_2026-03-27_sm.jpg,/objects/thumbs/st0006_ae_2026-03-27_th.jpg
rd0007,,,Happy birthday,record,,Anneliese,Made of Honour,Made of Honour,,1,birthdays;text,,image/jpeg,multiple,/objects/small/sl0007_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0007_ae_2026-04-11_th.jpg
sl0007,rd0007,https://i.ibb.co/cS3ZtXSY/sl0007-ae-2026-04-11.jpg,Happy birthday seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0007_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0007_ae_2026-04-11_th.jpg
st0007,rd0007,https://i.ibb.co/5XNvppyP/st0007-ae-2026-03-27.jpg,Happy birthday stamp,StillImage,,Anneliese,Made of Honour,Made of Honour,,,,AE_house,image/jpeg,image,/objects/small/st0007_ae_2026-03-27_sm.jpg,/objects/thumbs/st0007_ae_2026-03-27_th.jpg
rd0008,,,Butterfly,record,,Anneliese,Made of Honour,Made of Honour,,1,butterflies,,image/jpeg,multiple,/objects/small/sl0008_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0008_ae_2026-04-11_th.jpg
sl0008,rd0008,https://i.ibb.co/JW648B9j/sl0008-ae-2026-04-11.jpg,Butterfly seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0008_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0008_ae_2026-04-11_th.jpg
st0008,rd0008,https://i.ibb.co/q3r6XZrD/st0008-ae-2026-03-27.jpg,Butterfly stamp,StillImage,,Anneliese,Made of Honour,Made of Honour,,,,AE_house,image/jpeg,image,/objects/small/st0008_ae_2026-03-27_sm.jpg,/objects/thumbs/st0008_ae_2026-03-27_th.jpg
rd0009,,,Skull Cave,record,,Anneliese,VintageSealCo,Etsy,,1,bones;skulls;caves,,image/jpeg,multiple,/objects/small/sl0009_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0009_ae_2026-04-11_th.jpg
sl0009,rd0009,https://i.ibb.co/xKgyGrMd/sl0009-ae-2026-04-11.jpg,Skull Cave seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0009_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0009_ae_2026-04-11_th.jpg
st0009,rd0009,https://i.ibb.co/QFz5vmKg/st0009-ae-2026-03-27.jpg,Skull Cave stamp,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0009_ae_2026-03-27_sm.jpg,/objects/thumbs/st0009_ae_2026-03-27_th.jpg
rd0010,,,Xmas goose,record,2025,Anneliese,Made of Honour,Made of Honour,,1,geese;winter;Christmas,,image/jpeg,multiple,/objects/small/sl0010_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0010_ae_2026-04-11_th.jpg
